user_id,date,value
5XPTFY8V,2025-10-07,38.26
5XPTFY8V,2025-10-27,17.69
5XPTFY8V,2025-09-19,23.94
5XPTFY8V,2025-09-29,39.89
5YUD7FVM,2025-10-04,23.6
5YUD7FVM,2025-10-15,18.34
0NU6IEG4,2025-09-15,70.44
0NU6IEG4,2025-10-24,97.33
HY3X3KPF,2025-09-06,64.89
HY3X3KPF,2025-10-17,31.01
ZZNPXZMV,2025-10-15,39.93
ZZNPXZMV,2025-09-22,26.31
ZZNPXZMV,2025-10-28,44.57
ZZNPXZMV,2025-10-05,41.85
ZZNPXZMV,2025-10-26,48.79
DV5GTKOY,2025-10-04,19.87
FP0IR1MQ,2025-10-24,33.12
FP0IR1MQ,2025-09-12,19.11
FP0IR1MQ,2025-09-07,35.4
FP0IR1MQ,2025-09-09,29.65
FP0IR1MQ,2025-11-01,11.99
FP0IR1MQ,2025-10-11,67.3
FP0IR1MQ,2025-09-17,48.32
06JSUUU2,2025-10-13,23.47
5EH0KBHR,2025-09-08,38.24
5EH0KBHR,2025-10-12,62.93
5EH0KBHR,2025-09-27,15.09
RXS3X28J,2025-10-04,17.85
2P254A1Z,2025-09-02,68.43
2P254A1Z,2025-10-20,62.31
IMVZI824,2025-09-08,50.78
IMVZI824,2025-09-30,26.11
IMVZI824,2025-09-27,34.55
3CCIKSVR,2025-10-09,31.83
SD7F3JMT,2025-10-17,20.78
SD7F3JMT,2025-10-11,38.66
WLOTY33Y,2025-09-20,20.96
WLOTY33Y,2025-10-08,205.4
GW2H89OU,2025-10-23,53.53
ROMDTVU2,2025-10-28,31.73
ROMDTVU2,2025-09-12,26.66
ROMDTVU2,2025-10-05,87.29
D6CA9E0L,2025-10-15,38.19
D6CA9E0L,2025-10-08,38.25
D6CA9E0L,2025-10-22,51.37
D6CA9E0L,2025-09-10,25.28
T64IV1RX,2025-11-03,35.67
55NJ99BY,2025-09-28,75.16
55NJ99BY,2025-10-17,124.92
VL154LBF,2025-09-24,19.96
VL154LBF,2025-10-02,13.54
VL154LBF,2025-10-27,35.39
VL154LBF,2025-10-29,50.74
9DJWJ2D9,2025-09-19,69.18
9DJWJ2D9,2025-09-05,7.08
9DJWJ2D9,2025-10-18,13.12
GRKRI6Y6,2025-09-29,46.1
GRKRI6Y6,2025-10-23,43.35
GRKRI6Y6,2025-11-05,29.86
GRKRI6Y6,2025-09-21,32.23
GRKRI6Y6,2025-11-01,160.77
LJVG0SV7,2025-09-24,36.85
LJVG0SV7,2025-10-08,12.84
LJVG0SV7,2025-10-04,24.23
LJVG0SV7,2025-09-28,14.31
VVFU8HH6,2025-09-14,21.69
VVFU8HH6,2025-10-14,41.16
VVFU8HH6,2025-09-09,52.38
VVFU8HH6,2025-09-26,11.68
VVFU8HH6,2025-09-03,55.21
907YK3IN,2025-10-06,15.05
907YK3IN,2025-09-05,43.12
907YK3IN,2025-10-17,16.89
907YK3IN,2025-10-14,65.64
907YK3IN,2025-09-28,17.89
9MI9OJ3M,2025-09-06,38.39
9MI9OJ3M,2025-10-16,16.23
9MI9OJ3M,2025-09-28,30.0
3CQ70T47,2025-09-23,20.03
75P61VZE,2025-09-17,33.09
75P61VZE,2025-10-05,33.63
75P61VZE,2025-10-25,19.97
YKSK1OSP,2025-09-14,84.92
MWOJMD4Q,2025-09-21,25.31
MWOJMD4Q,2025-09-10,38.28
MWOJMD4Q,2025-11-04,75.01
GNFZYIRM,2025-09-06,12.35
GNFZYIRM,2025-10-04,88.54
6NO5CTBY,2025-09-30,10.72
6NO5CTBY,2025-10-15,45.8
YNWZUNHS,2025-10-10,21.7
YNWZUNHS,2025-10-01,38.3
GZUBRUR5,2025-09-18,37.89
GZUBRUR5,2025-10-23,15.83
GZUBRUR5,2025-10-07,11.36
P2NTP647,2025-10-31,32.69
P2NTP647,2025-10-31,36.69
EN16TIS6,2025-11-04,37.18
2B5GCRBT,2025-10-08,32.13
2B5GCRBT,2025-10-03,84.45
2B5GCRBT,2025-10-02,23.43
J4UDZUYO,2025-11-03,82.9
J4UDZUYO,2025-10-03,26.29
J4UDZUYO,2025-09-10,17.16
6ENRLWY4,2025-10-11,83.35
LR9GQFB3,2025-10-21,14.73
LR9GQFB3,2025-09-12,27.77
LR9GQFB3,2025-10-29,103.57
3G633KHO,2025-09-28,21.96
3G633KHO,2025-10-23,23.14
3G633KHO,2025-11-04,23.24
P903ZXRO,2025-11-05,55.49
P903ZXRO,2025-10-12,72.31
P903ZXRO,2025-09-06,57.41
P903ZXRO,2025-11-02,16.49
P903ZXRO,2025-09-12,29.31
F80ZBZID,2025-10-19,33.88
F80ZBZID,2025-10-21,26.19
F80ZBZID,2025-09-21,82.79
Z3QQFLYQ,2025-09-04,85.29
Z3QQFLYQ,2025-09-04,112.72
Z3QQFLYQ,2025-10-04,27.53
Z3QQFLYQ,2025-09-19,16.09
81Y9YP62,2025-10-23,26.37
81Y9YP62,2025-10-19,57.91
81Y9YP62,2025-10-16,61.55
81Y9YP62,2025-09-12,18.2
V7TSEW9K,2025-09-07,62.88
V7TSEW9K,2025-10-26,74.01
V7TSEW9K,2025-09-07,43.25
V7TSEW9K,2025-10-01,39.67
V7TSEW9K,2025-09-16,45.18
6GEU5773,2025-11-04,57.93
6GEU5773,2025-10-26,54.34
6GEU5773,2025-10-30,22.77
SGJO0XZN,2025-10-27,39.08
VKE5JKK0,2025-09-24,11.74
VKE5JKK0,2025-09-05,91.84
VKE5JKK0,2025-10-22,92.47
B8ZZQY1D,2025-09-23,32.69
B8ZZQY1D,2025-10-09,97.11
B8ZZQY1D,2025-10-23,84.14
B8ZZQY1D,2025-10-12,26.67
B8ZZQY1D,2025-10-22,5.22
A3JS2253,2025-10-31,30.55
CJX1FLL1,2025-09-05,52.77
CJX1FLL1,2025-10-10,54.95
CJX1FLL1,2025-10-30,29.79
CJX1FLL1,2025-09-04,29.49
CJX1FLL1,2025-10-14,80.59
72JP7OAU,2025-10-23,74.91
OXMHTXLM,2025-09-20,40.06
OXMHTXLM,2025-09-18,28.65
OXMHTXLM,2025-10-02,37.36
OXMHTXLM,2025-10-27,106.55
O49NI37N,2025-10-05,21.83
